FID,Shape *,id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
130,Polygon,131,agrl779,barl,oats,rye,oats,barl,barl,oats,rye,oats,barl,barl,oats,rye,oats,barl,barl,oats,rye,oats,barl,barl,oats,rye,oats,barl,barl,oats,rye,oats,barl,barl,oats,rye,oats,barl,0
131,Polygon,132,agrl796,barl,oats,trit,wwht,fpea,barl,oats,trit,wwht,fpea,barl,oats,trit,wwht,fpea,barl,oats,trit,wwht,fpea,barl,oats,trit,wwht,fpea,barl,oats,trit,wwht,fpea,barl,oats,trit,wwht,fpea,0
132,Polygon,133,agrl808,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,barl,pota,pota,pota,pota,0
133,Polygon,134,agrl811,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,barl,pota,wwht,canp,rye,0
134,Polygon,135,agrl943,berm,berm,berm,berm,oats,berm,berm,berm,berm,oats,berm,berm,berm,berm,oats,berm,berm,berm,berm,oats,berm,berm,berm,berm,oats,berm,berm,berm,berm,oats,berm,berm,berm,berm,oats,0
135,Polygon,136,agrl948,berm,berm,berm,fes2,fes2,berm,berm,berm,fes2,fes2,berm,berm,berm,fes2,fes2,berm,berm,berm,fes2,fes2,berm,berm,berm,fes2,fes2,berm,berm,berm,fes2,fes2,berm,berm,berm,fes2,fes2,0
136,Polygon,137,agrl966,berm,fes2,alfa,fes2,fes2,berm,fes2,alfa,fes2,fes2,berm,fes2,alfa,fes2,fes2,berm,fes2,alfa,fes2,fes2,berm,fes2,alfa,fes2,fes2,berm,fes2,alfa,fes2,fes2,berm,fes2,alfa,fes2,fes2,0
137,Polygon,138,agrl967,berm,fes2,alfa,oats,trit,berm,fes2,alfa,oats,trit,berm,fes2,alfa,oats,trit,berm,fes2,alfa,oats,trit,berm,fes2,alfa,oats,trit,berm,fes2,alfa,oats,trit,berm,fes2,alfa,oats,trit,0
138,Polygon,139,agrl969,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,0
139,Polygon,140,agrl970,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,berm,fes2,fes2,fes2,fes2,0
140,Polygon,141,agrl985,buck,alfa,alfa,rye,buck,buck,alfa,alfa,rye,buck,buck,alfa,alfa,rye,buck,buck,alfa,alfa,rye,buck,buck,alfa,alfa,rye,buck,buck,alfa,alfa,rye,buck,buck,alfa,alfa,rye,buck,0
141,Polygon,142,agrl988,buck,alfa,barl,trit,trit,buck,alfa,barl,trit,trit,buck,alfa,barl,trit,trit,buck,alfa,barl,trit,trit,buck,alfa,barl,trit,trit,buck,alfa,barl,trit,trit,buck,alfa,barl,trit,trit,0
142,Polygon,143,agrl996,buck,alfa,buck,rye,alfa,buck,alfa,buck,rye,alfa,buck,alfa,buck,rye,alfa,buck,alfa,buck,rye,alfa,buck,alfa,buck,rye,alfa,buck,alfa,buck,rye,alfa,buck,alfa,buck,rye,alfa,0
143,Polygon,144,agrl1007,buck,alfa,rye,buck,alfa,buck,alfa,rye,buck,alfa,buck,alfa,rye,buck,alfa,buck,alfa,rye,buck,alfa,buck,alfa,rye,buck,alfa,buck,alfa,rye,buck,alfa,buck,alfa,rye,buck,alfa,0
144,Polygon,145,agrl1008,buck,alfa,rye,buck,rye,buck,alfa,rye,buck,rye,buck,alfa,rye,buck,rye,buck,alfa,rye,buck,rye,buck,alfa,rye,buck,rye,buck,alfa,rye,buck,rye,buck,alfa,rye,buck,rye,0
145,Polygon,146,agrl1011,buck,alfa,trit,trit,alfa,buck,alfa,trit,trit,alfa,buck,alfa,trit,trit,alfa,buck,alfa,trit,trit,alfa,buck,alfa,trit,trit,alfa,buck,alfa,trit,trit,alfa,buck,alfa,trit,trit,alfa,0
146,Polygon,147,agrl1079,buck,oats,barl,rye,oats,buck,oats,barl,rye,oats,buck,oats,barl,rye,oats,buck,oats,barl,rye,oats,buck,oats,barl,rye,oats,buck,oats,barl,rye,oats,buck,oats,barl,rye,oats,0
147,Polygon,148,agrl1145,canp,canp,barl,alfa,canp,canp,canp,barl,alfa,canp,canp,canp,barl,alfa,canp,canp,canp,barl,alfa,canp,canp,canp,barl,alfa,canp,canp,canp,barl,alfa,canp,canp,canp,barl,alfa,canp,0
148,Polygon,149,agrl1163,canp,fes2,fes2,canp,fes2,canp,fes2,fes2,canp,fes2,canp,fes2,fes2,canp,fes2,canp,fes2,fes2,canp,fes2,canp,fes2,fes2,canp,fes2,canp,fes2,fes2,canp,fes2,canp,fes2,fes2,canp,fes2,0
149,Polygon,150,agrl1164,canp,fes2,fes2,canp,trit,canp,fes2,fes2,canp,trit,canp,fes2,fes2,canp,trit,canp,fes2,fes2,canp,trit,canp,fes2,fes2,canp,trit,canp,fes2,fes2,canp,trit,canp,fes2,fes2,canp,trit,0
150,Polygon,151,agrl1169,canp,fes2,fes2,trit,pota,canp,fes2,fes2,trit,pota,canp,fes2,fes2,trit,pota,canp,fes2,fes2,trit,pota,canp,fes2,fes2,trit,pota,canp,fes2,fes2,trit,pota,canp,fes2,fes2,trit,pota,0
151,Polygon,152,agrl1188,canp,pota,wwht,barl,fpea,canp,pota,wwht,barl,fpea,canp,pota,wwht,barl,fpea,canp,pota,wwht,barl,fpea,canp,pota,wwht,barl,fpea,canp,pota,wwht,barl,fpea,canp,pota,wwht,barl,fpea,0
152,Polygon,153,agrl1190,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,0
153,Polygon,154,agrl1191,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,canp,pota,wwht,canp,pota,0
154,Polygon,155,agrl1272,canp,wwht,barl,alfa,canp,canp,wwht,barl,alfa,canp,canp,wwht,barl,alfa,canp,canp,wwht,barl,alfa,canp,canp,wwht,barl,alfa,canp,canp,wwht,barl,alfa,canp,canp,wwht,barl,alfa,canp,0
155,Polygon,156,agrl1284,canp,wwht,barl,trit,fpea,canp,wwht,barl,trit,fpea,canp,wwht,barl,trit,fpea,canp,wwht,barl,trit,fpea,canp,wwht,barl,trit,fpea,canp,wwht,barl,trit,fpea,canp,wwht,barl,trit,fpea,0
