date,value
2009-10-14,0.043571429
2009-10-15,0.033333333
2009-10-16,0.03
2009-10-17,0.03
2009-10-18,0.03
2009-10-19,0.03
2009-10-20,0.03
2009-10-21,0.028666667
2009-10-22,0.026
2009-10-23,0.026
2009-10-24,0.027333333
2009-10-25,0.036
2009-10-26,0.038333333
2009-10-27,0.035
2009-10-28,0.03
2009-10-29,0.03
2009-10-30,0.03
2009-10-31,0.03
2009-11-01,0.03
2009-11-02,0.03
2009-11-03,0.043727273
2009-11-04,0.079714286
2009-11-05,0.197111111
2009-11-06,0.149666667
2009-11-07,0.564589744
2009-11-08,0.306904762
2009-11-09,0.50716129
2009-11-10,0.191
2009-11-11,0.2045
2009-11-12,0.1618
2009-11-13,0.1158
2009-11-14,0.0908
2009-11-15,0.076
2009-11-16,0.076
2009-11-17,0.069333333
2009-11-18,0.066
2009-11-19,0.058666667
2009-11-20,0.055
2009-11-21,0.055
2009-11-22,0.055
2009-11-23,0.055
2009-11-24,0.055
2009-11-25,0.055
2009-11-26,0.055
2009-11-27,0.055
2009-11-28,0.055
2009-11-29,0.055
2009-11-30,0.055
2009-12-01,0.0797
2009-12-02,0.145916667
2009-12-03,0.1258
2009-12-04,0.105
2009-12-05,0.0882
2009-12-06,0.076
2009-12-07,0.072666667
2009-12-08,0.307066667
2009-12-09,0.908054054
2009-12-10,0.404777778
2009-12-11,0.251111111
2009-12-12,0.209
2009-12-13,0.186285714
2009-12-14,0.15
2009-12-15,0.13
2009-12-16,0.121666667
2009-12-17,0.109
2009-12-18,0.096666667
2009-12-19,0.088
2009-12-20,0.084
2009-12-21,0.076
2009-12-22,0.082
2009-12-23,0.586548387
2009-12-24,1.057030303
2009-12-25,0.604526316
2009-12-26,2.118717949
2009-12-27,0.904857143
2009-12-28,0.515272727
2009-12-29,0.321777778
2009-12-30,0.262666667
2009-12-31,0.241
2010-01-01,0.209
2010-01-02,0.1772
2010-01-03,0.1428
2010-01-04,0.1158
2010-01-05,0.101
2010-01-06,0.101
2010-01-07,0.101
2010-01-08,0.1213
2010-01-09,1.471175
2010-01-10,2.969393939
2010-01-11,1.629411765
2010-01-12,0.95776
2010-01-13,0.561928571
2010-01-14,0.379090909
2010-01-15,0.284166667
2010-01-16,0.234
2010-01-17,0.221
2010-01-18,0.203
2010-01-19,0.224444444
2010-01-20,0.284
2010-01-21,0.3042
2010-01-22,0.2576
2010-01-23,0.1878
2010-01-24,0.15
2010-01-25,0.134
2010-01-26,0.1165
2010-01-27,0.101
2010-01-28,0.096666667
2010-01-29,0.088
2010-01-30,0.088
2010-01-31,0.088
2010-02-01,0.079538462
2010-02-02,0.0711
2010-02-03,0.066
2010-02-04,0.066
2010-02-05,0.086111111
2010-02-06,0.113
2010-02-07,0.113
2010-02-08,0.105375
2010-02-09,0.092333333
2010-02-10,0.101
2010-02-11,0.113
2010-02-12,0.113
2010-02-13,0.113
2010-02-14,0.102615385
2010-02-15,0.113
2010-02-16,0.085666667
2010-02-17,0.096666667
2010-02-18,0.105
2010-02-19,0.127571429
2010-02-20,1.499142857
2010-02-21,2.494375
2010-02-22,2.044864865
2010-02-23,2.157027027
2010-02-24,1.483055556
2010-02-25,0.779869565
2010-02-26,0.698777778
2010-02-27,2.384571429
2010-02-28,0.966545455
2010-03-01,0.484058824
2010-03-02,0.303454545
2010-03-03,0.219714286
2010-03-04,0.185333333
2010-03-05,0.166285714
2010-03-06,0.1428
2010-03-07,0.1158
2010-03-08,0.096666667
2010-03-09,0.088
2010-03-10,0.088
2010-03-11,0.088
2010-03-12,0.113
2010-03-13,0.1484
2010-03-14,0.301764706
2010-03-15,0.342555556
2010-03-16,0.263571429
2010-03-17,0.201428571
2010-03-18,0.1596
2010-03-19,0.134
2010-03-20,0.1158
2010-03-21,0.101
2010-03-22,0.096666667
2010-03-23,0.096666667
2010-03-24,0.101
2010-03-25,0.092333333
2010-03-26,0.084
