 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   366    12    31  2004       1       0  cha1                 0.2217E-01     0.2104E-01     0.2217E-01     0.9588E-01     0.9522E+00     0.1106E+01     0.4761E+00     0.0000E+00     0.4574E+00     0.0000E+00     0.6297E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.7485E-01     0.0000E+00     0.4484E+04     0.4254E+04     0.4483E+04     0.8516E-03
   366    12    31  2004       2       0  cha2                 0.7409E-01     0.5975E-01     0.7409E-01     0.3577E+00     0.2108E-01     0.2601E+00     0.1054E-01     0.0000E+00     0.1053E-01     0.0000E+00     0.2495E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.8236E-01     0.0000E+00     0.6565E+05     0.5294E+05     0.6565E+05     0.1072E-03
   366    12    31  2004       3       0  cha3                 0.1215E+00     0.3996E-01     0.1215E+00     0.5410E+00     0.2848E+00     0.4607E+01     0.1424E+00     0.0000E+00     0.1423E+00     0.2540E+00     0.4211E+01     0.0000E+00     0.1292E+01     0.2330E+00     0.5260E-02     0.6916E-02     0.4946E+00     0.0000E+00     0.3117E+05     0.1025E+05     0.3117E+05     0.2760E-02
   366    12    31  2004       4       0  cha4                 0.7948E-01     0.7517E-01     0.7948E-01     0.3350E+00     0.2737E+01     0.1622E+01     0.1368E+01     0.0000E+00     0.1361E+01     0.0000E+00     0.2534E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.2666E-01     0.0000E+00     0.1348E+05     0.1275E+05     0.1348E+05     0.1141E-02
   366    12    31  2004       5       0  cha5                 0.3075E+00     0.8020E-01     0.3075E+00     0.9762E+00     0.7303E+01     0.5079E+01     0.3651E+01     0.0000E+00     0.3542E+01     0.0000E+00     0.1427E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.7009E-01     0.0000E+00     0.1691E+05     0.4409E+04     0.1691E+05     0.2663E-02
   366    12    31  2004       6       0  cha6                 0.3536E+00     0.2364E-01     0.3536E+00     0.9462E+00     0.8566E+01     0.5971E+01     0.4283E+01     0.0000E+00     0.3496E+01     0.0000E+00     0.1688E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.6248E-01     0.0000E+00     0.1287E+05     0.8608E+03     0.1287E+05     0.1176E-02
   365    12    31  2005       1       0  cha1                 0.1904E-01     0.1738E-01     0.1906E-01     0.8232E-01     0.4160E+01     0.2505E+01     0.2080E+01     0.0000E+00     0.2080E+01     0.0000E+00     0.4248E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.5024E-01     0.0000E+00     0.3840E+04     0.3504E+04     0.3844E+04     0.5637E-03
   365    12    31  2005       2       0  cha2                 0.5368E-01     0.4520E-01     0.5368E-01     0.2592E+00     0.2704E-01     0.1503E+00     0.1352E-01     0.0000E+00     0.1352E-01     0.0000E+00     0.1368E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.4491E-01     0.0000E+00     0.4743E+05     0.3994E+05     0.4743E+05     0.5777E-04
   365    12    31  2005       3       0  cha3                 0.9048E-01     0.3029E-01     0.9049E-01     0.4028E+00     0.3466E+00     0.2715E+01     0.1733E+00     0.0000E+00     0.1732E+00     0.2203E+00     0.2321E+01     0.0000E+00     0.1292E+01     0.2390E+00     0.5260E-02     0.5997E-02     0.2623E+00     0.0000E+00     0.2315E+05     0.7749E+04     0.2315E+05     0.1402E-02
   365    12    31  2005       4       0  cha4                 0.6184E-01     0.5889E-01     0.6184E-01     0.2606E+00     0.2189E+01     0.1496E+01     0.1095E+01     0.0000E+00     0.1085E+01     0.0000E+00     0.4016E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.4209E-01     0.0000E+00     0.1046E+05     0.9963E+04     0.1046E+05     0.1069E-02
